Season_Year,AvgTemp_Mean,AvgTemp_Min,AvgTemp_Max,AvgTemp_Std,Prcp_Sum,Prcp_Mean,Pressure_Mean,WindSpeed_Mean,Spring_Arrival
2003,40.622,14.18,64.94,11.891131723721088,0.0,0.0,1020.09375,9.77375,0
2004,39.415084745762705,17.6,62.42,10.12173389302958,169.70000000000002,1.4381355932203392,1018.421186440678,7.82457627118644,0
2005,41.30675,21.02,66.74,8.542162672898014,110.65,0.9220833333333334,1016.8295833333334,8.632916666666667,1
2006,41.59355371900826,17.78,71.24,11.652356332483729,67.45,0.5574380165289257,1019.8289256198348,8.732644628099175,0
2007,40.61934426229509,20.66,63.32,8.95726970444621,9.3,0.07622950819672132,1019.5221311475409,7.340163934426229,0
2008,38.72545454545455,12.74,70.52,10.633339080458212,67.7,0.5595041322314049,1019.7892561983471,8.458264462809916,0
2009,39.11310344827586,18.86,61.88,9.649205456255528,287.8,2.481034482758621,1015.4254310344828,6.974137931034483,0
2010,39.22380165289256,21.02,69.8,9.782188342100692,65.0,0.5371900826446281,1017.5070247933885,7.309090909090909,0
2011,46.14327868852459,25.7,71.06,10.646451893550774,98.25,0.805327868852459,1019.5127049180328,7.340983606557377,0
2012,40.20285714285715,18.5,61.7,8.080021096513105,67.15,0.5642857142857143,1017.8323529411765,8.23781512605042,0
2013,37.4705,11.66,64.58,10.96297112476143,71.2,0.5933333333333334,1018.3104166666667,9.929166666666667,0
2014,37.87305785123967,10.4,64.58,10.57023421712872,92.85,0.7673553719008264,1020.3413223140496,9.035537190082644,0
2015,44.72540983606557,18.14,68.54,12.03531581181609,183.0,1.5,1017.9954918032787,9.322131147540983,0
2016,45.390661157024795,17.42,67.28,10.356749146936119,41.9,0.34628099173553717,1018.5028925619836,9.767768595041323,0
2017,41.22314049586777,15.62,69.44,11.019176620257507,69.65,0.5756198347107438,1020.6752066115703,9.356198347107437,1
2018,42.2897520661157,20.12,68.72,9.220626195547489,301.0,2.487603305785124,1019.9578512396694,8.10909090909091,0
2019,46.39704918032787,28.76,73.22,9.197789771203038,136.25,1.1168032786885247,1019.0971311475411,8.440983606557376,0
2020,42.85355371900826,28.04,71.78,8.674451458113849,239.2,1.9768595041322312,1018.7595041322313,8.567355371900828,0
2021,44.58512396694215,23.0,68.9,11.38584985231687,232.79999999999998,1.9239669421487602,1018.6809917355372,9.360330578512396,0
2022,46.02512396694215,16.16,66.38,9.144832248844375,241.9,1.9991735537190083,1017.9644628099173,8.730578512396695,0
2023,46.21114754098361,23.36,69.08,8.81466585920628,373.0,3.057377049180328,1017.2704918032787,7.538524590163934,0
2024,38.426857142857145,16.34,59.72,9.742759374005924,245.8,2.340952380952381,1019.0419047619047,8.578095238095239,0
